证券,证券名称,持仓数量,可用数量,成本价,当前价,最新市值,持仓盈亏,持仓盈亏,当日盈亏,当日盈亏,操作
代码,,,,,,,,比例,,比例,
2185,华天科技,600,600,14.562,13.54,8124,-613,-7.02%,-306,-3.63%,买  卖
2272,川润股份,300,300,19.497,17.81,5343,-506,-8.65%,-393,-6.85%,买  卖
2460,赣锋锂业,100,100,70.7,68.91,6891,-179,-2.53%,-169,-2.39%,买  卖
2463,沪电股份,100,100,83.91,86,8600,209,2.49%,205,2.44%,买  卖
2648,卫星化学,600,600,25.872,25.95,15570,47,0.30%,-636,-3.93%,买  卖
3816,中国广核,2100,2100,3.996,4.16,8736,344,4.10%,-147,-1.66%,买  卖
300172,中电环保,2000,2000,6.248,5.89,11780,-715,-5.73%,-360,-2.97%,买  卖
301109,军信股份,400,400,16.585,16.9,6760,126,1.90%,-108,-1.57%,买  卖
600096,云天化,100,100,43.36,39.3,3930,-406.04,-9.36%,-139,-3.42%,买  卖
600188,兖矿能源,300,300,19.407,20.07,6021,198.94,3.42%,-249,-3.97%,买  卖
600367,红星发展,400,400,23.273,28.24,11296,1986.91,21.34%,572,5.33%,买  卖
600406,国电南瑞,400,400,30.44,28.17,11268,-908.12,-7.46%,-212,-1.85%,买  卖
600426,华鲁恒升,300,300,38.537,37.37,11211,-350.12,-3.03%,-552,-4.69%,买  卖
600470,六国化工,600,600,8.538,8.46,5076,-47.05,-0.91%,-360,-6.62%,买  卖
600516,方大炭素,800,800,6.676,6.37,5096,-245.05,-4.58%,-192,-3.63%,买  卖
600642,申能股份,1100,1100,8.955,9.1,10010,159.9,1.62%,11,0.11%,买  卖
600866,星湖科技,1800,1800,7.992,7.83,14094,-291.14,-2.03%,-378,-2.61%,买  卖
601727,上海电气,600,600,9.248,8.64,5184,-365.06,-6.57%,-126,-2.37%,买  卖
603077,和邦生物,1700,1700,2.823,3.08,5236,436.95,9.10%,-136,-2.53%,买  卖
603565,中谷物流,500,500,11.05,11.14,5570,44.94,0.82%,-25,-0.45%,买  卖
,,,,,,,,,,,
