序,证券代码,证券名称,持仓数量,可用数量,成本价,最新价,持仓盈亏比例,持仓盈亏,当日盈亏比例,当日盈亏,买入均价,个股仓位,最新市值
1,=002527,新时达,1000,1000,16.295,16.23,-0.40%,-65,-0.37%,-60,16.295,4.09%,16230
2,=002916,深南电路,100,100,312.68,393.51,25.85%,8083,6.46%,2387,312.68,9.91%,39351
3,=300408,三环集团,100,100,132.49,140.79,6.27%,830,14.54%,1787,132.49,3.55%,14079
4,=300975,商络电子,400,400,27.354,45.63,66.81%,7310.4,9.69%,1612,27.354,4.60%,18252
5,=301377,鼎泰高科,100,100,371.07,436.85,17.73%,6577.98,2.88%,1222,371.07,11.00%,43685
6,=600157,永泰能源,2700,2700,1.792,1.71,-4.58%,-221.05,-1.16%,-54,1.792,1.16%,4617
7,=600183,生益科技,100,100,115.721,147.47,27.44%,3174.88,10.00%,1341,115.721,3.71%,14747
8,=600487,亨通光电,100,100,97.921,105.02,7.25%,709.9,10.00%,955,97.921,2.65%,10502
9,=600552,凯盛科技,500,500,21.902,22.72,3.74%,408.89,3.04%,335,21.902,2.86%,11360
10,=600584,长电科技,100,100,74.051,74.89,1.13%,83.93,6.53%,459,74.051,1.89%,7489
11,=600642,申能股份,500,500,9.3,9.62,3.44%,159.95,0.10%,5,9.3,1.21%,4810
12,=601138,工业富联,100,100,67.951,74.35,9.42%,639.93,5.49%,387,67.951,1.87%,7435
13,=,,,,,,,,,,,0.00%,
